Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
15,67.555,68.195,1.305,1.285,91.95,93.39,64.75,63.81,35.25,36.19,8.88,10.37,63.31,60.37,27.81,29.27,28.02,28.02,1.126,1.064,0.925,0.882,341.3,382.5,3.260,3.194,-0.4,-2.8,33.04,34.74,-70.82,-71.24,0.034,-0.068,112.21,117.53,0.343,0.300,0.090,0.046,0.039,0.016,0.208,0.210
16,68.840,69.490,1.285,1.295,93.39,92.66,64.20,62.55,35.80,37.45,7.27,9.88,64.24,63.58,28.48,26.54,26.25,26.25,1.283,1.220,0.985,1.087,335.7,386.1,3.379,3.289,-1.8,-1.5,33.44,26.14,-66.16,-69.51,0.052,-0.034,107.61,107.34,0.296,0.305,0.051,0.055,0.006,0.027,0.179,0.165
17,70.040,70.655,1.200,1.165,100.00,103.00,66.67,60.52,33.33,39.48,8.75,7.80,64.38,65.96,26.88,26.24,21.63,21.63,1.055,1.140,1.016,0.880,340.2,370.6,3.110,3.000,4.6,2.3,26.13,34.89,-67.06,-56.93,0.015,0.040,112.47,110.24,0.342,0.254,0.097,0.037,0.042,0.021,0.159,0.222
18,71.265,71.740,1.225,1.085,97.96,110.60,59.18,69.12,40.82,30.88,8.28,10.67,69.66,64.00,22.07,25.33,24.08,24.08,0.855,0.964,0.744,1.156,249.0,329.2,2.445,,0.3,2.8,21.62,33.59,-44.70,-34.65,0.024,-0.027,108.91,106.50,0.246,0.171,0.072,,0.057,,0.125,
19,72.220,72.765,0.955,1.025,125.65,117.07,59.16,58.05,40.84,41.95,17.70,13.45,38.05,45.38,44.25,41.18,26.73,26.73,1.023,1.086,1.058,0.995,386.1,373.6,3.099,,-5.3,0.3,40.73,33.49,-53.09,-64.67,0.028,-0.035,116.13,107.97,0.250,0.257,0.052,,0.045,,0.265,
20,73.305,73.950,1.085,1.185,110.60,101.27,66.36,60.76,33.64,39.24,8.33,11.81,59.03,59.72,32.64,28.47,26.61,26.61,1.055,1.121,0.965,0.871,363.2,338.8,3.161,2.867,2.3,-0.9,24.26,32.87,-62.74,-60.02,0.014,-0.041,107.17,108.94,0.280,0.253,0.048,0.026,0.029,0.024,0.151,0.218
21,74.545,75.170,1.240,1.220,96.77,98.36,64.11,62.70,35.89,37.30,6.29,6.54,64.78,62.75,28.93,30.72,26.10,26.10,1.132,1.074,0.903,0.975,369.1,353.6,3.148,2.987,1.8,0.0,28.99,28.42,-67.71,-67.73,0.032,-0.039,110.47,111.75,0.314,0.277,0.068,0.035,0.040,0.030,0.186,0.202
22,75.790,76.415,1.245,1.245,96.39,96.39,62.65,63.86,37.35,36.14,6.41,7.55,64.10,62.89,29.49,29.56,28.15,28.15,1.108,1.070,1.021,0.963,336.5,369.7,3.042,3.165,-0.7,0.7,30.94,32.33,-65.65,-66.07,0.038,-0.068,109.59,114.92,0.314,0.308,0.075,0.063,0.043,0.041,0.197,0.199
23,76.980,77.595,1.190,1.180,100.84,101.69,65.97,62.71,34.03,37.29,7.64,8.78,62.42,62.16,29.94,29.05,28.57,28.57,1.077,1.051,0.906,0.939,360.3,376.7,3.162,3.063,-2.6,-4.0,24.93,29.11,-71.56,-68.37,0.030,-0.059,114.83,110.87,0.363,0.281,0.110,0.036,0.049,0.021,0.160,0.187
24,78.240,78.795,1.260,1.200,95.24,100.00,63.49,66.25,36.51,33.75,7.50,10.06,61.88,59.75,30.62,30.19,30.74,30.74,1.112,1.005,0.998,0.887,338.5,352.8,3.171,3.066,0.9,6.4,23.61,23.23,-69.06,-67.40,0.047,-0.107,108.35,117.20,0.320,0.286,0.073,0.040,0.027,0.024,0.147,0.146
25,79.460,80.060,1.220,1.265,98.36,94.86,63.93,65.22,36.07,34.78,7.05,10.30,63.46,61.21,29.49,28.48,28.93,28.93,1.008,1.357,0.910,1.196,328.1,461.2,3.066,3.599,-1.5,3.4,28.97,37.61,-70.45,-78.45,0.047,-0.069,121.19,106.58,0.349,0.330,0.095,0.069,0.025,0.034,0.155,0.229
26,80.670,81.255,1.210,1.195,99.17,100.42,65.29,65.27,34.71,34.73,6.33,10.90,60.76,61.54,32.91,27.56,30.89,30.89,1.191,1.104,1.095,0.930,471.0,432.1,3.594,3.074,2.9,-1.5,26.19,36.76,-80.76,-68.51,0.044,-0.065,108.24,111.21,0.351,0.295,0.089,0.047,0.016,0.040,0.159,0.229
27,81.900,82.600,1.230,1.345,97.56,89.22,64.63,59.85,35.37,40.15,8.81,9.94,61.01,63.35,30.19,26.71,26.52,26.52,1.137,1.128,0.841,0.956,332.6,329.0,3.270,3.097,-3.1,-3.7,30.06,35.58,-68.19,-62.33,0.032,-0.111,111.17,116.29,0.343,0.279,0.092,0.053,0.026,0.042,0.151,0.239
28,83.220,83.810,1.320,1.210,90.91,99.17,67.42,61.98,32.58,38.02,6.18,7.33,67.42,64.67,26.40,28.00,19.05,19.05,1.107,1.257,0.875,1.035,390.8,362.9,3.269,3.346,2.0,-0.5,33.05,30.25,-64.96,-64.87,0.042,-0.065,110.52,106.28,0.335,0.309,0.091,0.072,0.055,0.035,0.194,0.182
29,84.375,84.950,1.155,1.140,103.90,105.26,58.87,66.67,41.13,33.33,11.76,7.24,63.24,61.18,25.00,31.58,23.95,23.95,1.148,1.085,1.097,0.972,350.1,474.3,3.206,3.318,-2.9,0.2,30.30,26.30,-57.11,-65.78,0.042,-0.039,109.74,109.36,0.274,0.292,0.056,0.049,0.027,0.038,0.183,0.152
30,85.565,86.105,1.190,1.155,100.84,103.90,55.88,67.10,44.12,32.90,8.27,6.45,67.67,64.52,24.06,29.03,32.27,32.27,1.126,0.994,1.016,0.904,309.8,348.4,,3.072,6.7,-3.1,26.62,17.30,-60.95,-61.89,0.035,-0.025,109.98,107.24,0.275,0.276,,0.048,,0.035,,0.117
31,86.665,87.235,1.100,1.130,109.09,106.19,66.82,64.60,33.18,35.40,9.52,8.22,63.27,60.96,27.21,30.82,32.27,32.27,1.049,1.236,0.850,1.108,335.5,382.5,3.265,3.439,-1.9,0.7,24.45,20.92,-52.33,-69.69,0.021,-0.041,110.46,104.12,0.288,0.298,0.075,0.050,0.017,0.026,0.098,0.136
