Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
65,120.300,120.915,1.215,1.225,98.77,97.96,62.14,63.27,37.86,36.73,8.61,9.03,62.25,61.94,29.14,29.03,25.82,25.82,1.124,0.995,0.929,0.839,340.0,365.6,3.148,2.918,2.3,3.6,20.92,24.89,-71.15,-70.48,0.024,-0.037,106.21,112.88,0.273,0.256,0.071,0.064,0.037,0.044,0.124,0.195
66,121.520,122.140,1.220,1.225,98.36,97.96,62.70,58.78,37.30,41.22,9.80,9.72,59.48,65.97,30.72,24.31,23.87,23.87,1.173,1.175,0.957,0.943,348.5,347.6,3.225,3.058,1.0,-3.3,22.80,25.52,-74.08,-70.41,0.030,-0.029,106.41,106.68,0.258,0.276,0.053,0.083,0.033,0.062,0.144,0.202
67,122.735,123.350,1.215,1.210,98.77,99.17,65.43,62.81,34.57,37.19,9.43,15.13,61.01,53.95,29.56,30.92,27.05,27.05,1.113,1.026,0.944,0.865,370.5,365.9,3.285,2.993,0.5,-0.9,21.86,26.24,-76.99,-69.16,0.036,-0.021,107.42,110.55,0.269,0.265,0.059,0.074,0.038,0.050,0.139,0.195
68,123.955,124.565,1.220,1.215,98.36,98.77,63.93,62.55,36.07,37.45,8.97,13.16,61.54,56.58,29.49,30.26,25.20,25.20,1.077,1.225,0.884,1.026,372.9,350.6,3.127,3.247,-2.6,1.4,21.41,25.68,-75.02,-69.71,0.023,-0.032,106.42,106.67,0.261,0.263,0.054,0.071,0.028,0.060,0.124,0.207
69,125.205,125.820,1.250,1.255,96.00,95.62,61.60,59.36,38.40,40.64,9.09,9.40,59.74,66.44,31.17,24.16,16.33,16.33,1.026,1.200,0.860,0.964,356.2,326.1,2.990,3.127,0.5,2.7,23.30,24.83,-71.45,-67.14,0.054,-0.051,110.77,105.28,0.264,0.257,0.064,0.071,0.049,0.053,0.155,0.179
70,126.430,127.050,1.225,1.230,97.96,97.56,57.96,58.94,42.04,41.06,9.15,9.66,68.31,67.59,22.54,22.76,22.04,22.04,1.093,1.149,0.898,0.949,358.0,354.5,3.074,3.079,0.1,-0.8,20.92,25.00,-74.15,-67.83,0.043,-0.020,106.55,104.75,0.270,0.251,0.066,0.061,0.052,0.034,0.139,0.168
71,127.655,128.270,1.225,1.220,97.96,98.36,63.27,62.70,36.73,37.30,8.39,8.50,64.52,62.75,27.10,28.76,26.23,26.23,1.078,1.095,0.896,0.893,359.2,343.7,3.109,3.021,0.5,1.0,21.32,23.98,-69.71,-70.65,0.040,-0.040,106.98,106.72,0.263,0.267,0.069,0.073,0.047,0.046,0.134,0.181
72,128.875,129.495,1.220,1.225,98.36,97.96,63.52,58.78,36.48,41.22,8.39,10.42,62.58,65.97,29.03,23.61,22.86,22.86,1.260,0.998,1.031,0.838,379.4,351.0,3.455,2.897,-1.6,-1.5,22.98,24.28,-71.92,-69.14,0.038,-0.031,104.62,110.91,0.253,0.258,0.050,0.067,0.034,0.041,0.138,0.180
73,130.100,130.700,1.225,1.205,97.96,99.59,64.08,58.92,35.92,41.08,11.46,11.97,59.24,63.38,29.30,24.65,22.94,22.94,1.162,0.931,0.982,0.801,351.5,368.1,3.267,2.842,1.7,-2.0,21.10,23.49,-73.25,-68.00,0.040,0.011,106.02,110.42,0.260,0.254,0.056,0.065,0.037,0.034,0.132,0.163
74,131.255,131.900,1.155,1.200,103.90,100.00,65.80,62.08,34.20,37.92,7.89,10.07,63.82,61.07,28.29,28.86,28.97,28.97,1.117,1.141,0.932,0.950,372.3,354.3,3.181,3.113,-0.1,-1.4,21.35,23.85,-70.75,-68.28,0.023,-0.017,105.01,106.16,0.254,0.255,0.057,0.067,0.031,0.044,0.126,0.186
75,132.515,133.135,1.260,1.235,95.24,97.17,65.08,57.89,34.92,42.11,11.59,11.19,61.59,62.94,26.83,25.87,20.54,20.54,1.114,1.232,0.915,0.978,351.1,346.1,3.183,3.097,0.2,3.0,24.08,26.07,-71.86,-69.68,0.015,0.010,106.56,105.59,0.256,0.280,0.053,0.088,0.028,0.059,0.145,0.194
76,133.805,134.410,1.290,1.275,93.02,94.12,60.85,62.75,39.15,37.25,8.92,10.62,65.61,58.75,25.48,30.62,24.08,24.08,1.163,1.108,0.926,0.877,319.6,352.8,3.035,3.057,-1.3,3.0,22.96,24.56,-62.60,-68.09,0.015,-0.027,107.06,108.72,0.252,0.256,0.068,0.067,0.041,0.047,0.145,0.185
77,135.030,135.660,1.225,1.250,97.96,96.00,62.86,58.00,37.14,42.00,10.39,11.03,60.39,64.14,29.22,24.83,15.48,15.48,1.140,0.888,0.939,0.774,350.4,337.8,3.131,2.735,-1.4,-2.0,20.90,26.52,-71.22,-65.38,0.054,-0.041,106.70,117.36,0.259,0.246,0.061,0.063,0.051,0.046,0.142,0.191
78,136.290,136.900,1.260,1.240,95.24,96.77,57.14,62.50,42.86,37.50,9.72,15.48,66.67,51.61,23.61,32.90,25.51,25.51,1.143,1.084,0.912,0.881,350.3,381.4,3.210,2.965,1.6,2.8,20.80,25.49,-72.52,-71.53,0.036,-0.058,106.86,109.13,0.262,0.262,0.059,0.063,0.034,0.045,0.130,0.190
79,137.525,138.140,1.235,1.240,97.17,96.77,63.16,58.47,36.84,41.53,9.62,12.41,60.90,63.45,29.49,24.14,15.92,15.92,1.088,1.200,0.903,0.981,337.0,381.4,3.071,3.266,-1.7,0.3,19.67,23.96,-70.57,-69.89,0.060,-0.046,107.04,105.66,0.263,0.261,0.063,0.064,0.045,0.046,0.128,0.177
80,138.750,139.380,1.225,1.240,97.96,96.77,57.96,64.52,42.04,35.48,9.86,9.38,68.31,61.25,21.83,29.38,27.42,27.42,1.163,1.109,0.951,0.877,398.4,340.2,3.222,3.042,-1.5,0.4,18.30,23.86,-78.52,-67.42,0.039,-0.023,103.99,105.60,0.269,0.248,0.055,0.063,0.046,0.048,0.121,0.173
81,139.990,140.615,1.240,1.235,96.77,97.17,62.90,63.16,37.10,36.84,8.97,10.90,62.18,58.33,28.85,30.77,26.91,26.91,1.105,0.958,0.912,0.794,343.6,347.9,3.104,2.863,0.5,-0.8,17.50,25.04,-70.05,-69.32,-0.007,-0.030,105.23,112.81,0.248,0.261,0.049,0.068,0.025,0.049,0.107,0.188
82,141.235,141.830,1.245,1.215,96.39,98.77,63.45,60.49,36.55,39.51,6.96,11.56,61.39,63.27,31.65,25.17,26.80,26.80,1.021,0.955,0.821,0.814,356.7,353.9,2.961,2.813,2.5,0.3,18.57,24.39,-76.21,-68.38,0.013,-0.043,107.32,110.88,0.267,0.253,0.057,0.061,0.033,0.039,0.125,0.172
83,142.485,143.090,1.250,1.260,96.00,95.24,65.20,63.89,34.80,36.11,7.36,14.29,62.58,57.14,30.06,28.57,25.82,25.82,1.099,1.004,0.902,0.839,335.1,350.1,3.092,2.943,0.0,1.0,20.49,24.31,-74.42,-69.88,0.059,-0.045,106.11,111.17,0.259,0.251,0.054,0.059,0.037,0.040,0.123,0.190
84,143.705,144.300,1.220,1.210,98.36,99.17,63.11,59.92,36.89,40.08,7.79,10.34,62.34,65.52,29.87,24.14,23.01,23.01,1.104,1.057,0.913,0.883,343.7,343.0,3.140,2.987,-1.3,-3.2,17.87,23.94,-73.61,-68.06,0.039,-0.032,104.57,108.97,0.265,0.260,0.060,0.072,0.040,0.046,0.115,0.178
