Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
48,129.460,128.855,1.170,1.155,102.56,103.90,62.39,64.07,37.61,35.93,10.96,12.84,58.22,56.76,30.82,30.41,25.23,25.23,1.262,1.135,1.257,0.965,380.1,426.1,3.521,3.580,-2.8,3.0,20.30,31.13,-71.27,-73.24,0.071,-0.052,108.80,114.17,0.265,0.345,0.032,0.091,0.027,0.046,0.180,0.206
49,130.555,129.965,1.095,1.110,109.59,108.11,58.45,64.86,41.55,35.14,7.81,11.11,64.84,54.86,27.34,34.03,25.22,25.22,1.081,1.195,1.014,1.173,343.6,379.8,,3.468,3.0,-0.8,23.03,29.37,-68.39,-70.92,-0.030,-0.051,115.73,105.78,0.218,0.289,,0.042,,0.019,,0.181
50,131.725,131.115,1.170,1.150,102.56,104.35,61.97,64.78,38.03,35.22,9.66,12.75,61.38,54.36,28.97,32.89,25.00,25.00,1.133,1.226,1.068,1.036,309.9,417.9,3.487,3.556,0.0,1.4,26.46,27.78,-61.70,-75.03,0.053,0.029,114.08,106.94,0.271,0.311,0.066,0.057,0.050,0.031,0.213,0.188
51,132.835,132.255,1.110,1.140,108.11,105.26,62.16,64.04,37.84,35.96,10.14,12.33,58.70,56.16,31.16,31.51,26.16,26.16,1.383,1.250,1.365,1.227,365.0,400.1,3.880,3.747,-0.2,1.4,22.67,24.04,-72.50,-74.33,0.030,-0.061,104.74,108.94,0.264,0.278,0.031,0.028,0.006,0.011,0.168,0.159
52,134.015,133.440,1.180,1.185,101.69,101.27,63.98,61.60,36.02,38.40,7.95,8.22,58.28,57.53,33.77,34.25,27.19,27.19,1.301,1.318,1.079,1.147,359.6,413.1,3.942,,-2.3,-0.0,27.18,27.10,-74.14,-72.85,0.042,-0.082,115.60,107.20,0.345,0.268,0.103,,0.058,,0.225,
53,135.195,134.580,1.180,1.140,101.69,105.26,62.29,64.47,37.71,35.53,8.84,7.48,57.82,57.82,33.33,34.69,26.27,26.27,1.305,1.150,1.164,0.979,377.6,364.2,3.715,,2.3,2.2,24.08,27.79,-76.47,-73.96,0.067,0.027,108.89,113.53,0.323,0.256,0.077,,0.043,,0.215,
54,136.355,135.760,1.160,1.180,103.45,101.69,63.36,63.98,36.64,36.02,7.48,11.92,61.22,57.62,31.29,30.46,27.83,27.83,1.358,1.394,1.194,1.138,384.3,405.6,3.883,3.594,0.6,-1.1,25.39,33.28,-72.74,-69.23,0.049,-0.033,107.44,105.79,0.297,0.263,0.055,0.022,0.015,0.017,0.183,0.225
55,137.510,136.910,1.155,1.150,103.90,104.35,63.64,64.78,36.36,35.22,7.48,10.74,63.95,57.05,28.57,32.21,27.90,27.90,1.335,1.140,1.234,1.116,364.5,409.0,3.794,3.371,0.7,-1.8,23.54,27.44,-75.43,-73.72,0.040,-0.073,106.99,110.75,0.307,0.292,0.064,0.040,0.028,0.017,0.184,0.182
56,138.685,138.075,1.175,1.165,102.13,103.00,57.02,63.95,42.98,36.05,8.96,8.72,64.18,61.74,26.87,29.53,19.91,19.91,1.165,1.271,1.004,1.041,367.4,407.5,3.467,3.549,-2.8,3.9,22.27,25.80,-70.86,-71.50,0.044,-0.067,112.38,109.25,0.304,0.284,0.074,0.039,0.045,0.021,0.173,0.191
57,139.790,139.230,1.105,1.155,108.60,103.90,64.71,63.64,35.29,36.36,7.69,6.80,62.94,57.82,29.37,35.37,27.88,27.88,1.278,1.196,1.175,1.285,359.2,362.3,3.782,3.499,-0.5,-1.7,23.03,22.98,-71.66,-70.39,0.050,-0.054,108.65,106.67,0.271,0.310,0.035,0.066,0.012,0.039,0.165,0.151
