Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
94,141.975,141.435,1.125,1.125,106.67,106.67,62.67,62.67,37.33,37.33,9.93,7.09,58.16,58.87,31.91,34.04,24.44,24.44,1.065,0.967,0.977,0.875,364.4,373.6,3.436,3.265,1.2,-1.1,20.20,18.00,-64.10,-72.17,0.043,-0.047,107.04,109.32,0.273,0.270,0.071,0.067,0.037,0.035,0.126,0.121
95,143.095,142.560,1.120,1.125,107.14,106.67,61.61,61.78,38.39,38.22,10.87,7.19,53.62,60.43,35.51,32.37,24.09,24.09,1.130,0.978,1.000,0.900,363.3,326.7,3.581,3.217,-0.5,0.8,21.45,17.97,-65.88,-65.88,0.047,-0.066,105.77,109.78,0.270,0.263,0.066,0.065,0.036,0.043,0.135,0.113
96,144.195,143.660,1.100,1.100,109.09,109.09,63.18,63.18,36.82,36.82,10.07,7.19,58.27,59.71,31.65,33.09,22.52,22.52,1.007,0.970,0.951,0.902,378.8,363.1,3.491,3.305,1.8,-1.8,24.86,18.09,-63.71,-69.05,0.051,-0.051,110.00,107.13,0.258,0.262,0.056,0.059,0.024,0.033,0.134,0.110
97,145.300,144.770,1.105,1.110,108.60,108.11,62.44,59.01,37.56,40.99,12.32,7.63,58.70,62.60,28.99,29.77,23.74,23.74,1.062,1.095,0.949,0.999,361.3,313.5,3.406,3.315,-1.8,1.0,22.69,13.43,-62.19,-61.33,0.041,-0.039,106.38,104.67,0.241,0.239,0.044,0.052,0.023,0.030,0.125,0.102
98,146.410,145.865,1.110,1.095,108.11,109.59,63.06,61.64,36.94,38.36,10.71,7.41,61.43,60.00,27.86,32.59,25.68,25.68,1.085,1.022,1.016,0.951,359.6,360.0,3.448,3.348,0.1,-1.7,23.32,14.91,-60.11,-68.58,0.023,-0.052,105.18,106.01,0.259,0.266,0.066,0.063,0.039,0.031,0.137,0.101
99,147.540,146.975,1.130,1.110,106.19,108.11,60.62,62.61,39.38,37.39,10.95,7.19,62.04,60.43,27.01,32.37,24.45,24.45,1.104,1.060,1.018,0.949,343.7,341.7,3.441,3.363,-0.5,0.8,24.43,16.34,-56.23,-66.92,0.039,-0.040,106.57,105.79,0.233,0.262,0.049,0.064,0.030,0.030,0.145,0.110
100,148.655,148.120,1.115,1.145,107.62,104.80,63.68,63.32,36.32,36.68,12.68,6.90,56.34,60.00,30.99,33.10,24.42,24.42,1.090,1.150,0.998,1.053,386.4,316.0,3.589,3.474,-1.4,1.9,23.58,16.36,-61.96,-67.44,0.074,-0.067,108.78,104.92,0.239,0.268,0.041,0.068,0.016,0.036,0.126,0.106
101,149.760,149.205,1.105,1.085,108.60,110.60,61.54,61.75,38.46,38.25,9.56,7.46,58.09,57.46,32.35,35.07,24.55,24.55,0.886,1.072,0.862,0.978,360.3,374.8,3.124,3.517,1.9,2.7,22.40,18.57,-63.43,-74.23,0.059,-0.042,115.95,107.66,0.252,0.263,0.054,0.056,0.032,0.025,0.137,0.127
102,150.835,150.325,1.075,1.120,111.63,107.14,63.72,62.50,36.28,37.50,8.76,7.14,61.31,61.43,29.93,31.43,23.00,23.00,0.989,0.941,0.946,0.892,377.8,343.6,3.463,3.111,-3.0,-1.9,23.32,13.66,-61.68,-68.04,0.028,-0.056,108.94,107.24,0.233,0.255,0.039,0.058,0.025,0.032,0.134,0.096
103,151.940,151.390,1.105,1.065,108.60,112.68,61.09,59.62,38.91,40.38,11.11,7.87,58.52,60.63,30.37,31.50,25.55,25.55,1.059,0.969,0.994,0.903,362.0,310.2,3.431,3.071,0.9,0.6,24.20,16.83,-60.24,-61.57,0.035,-0.043,107.29,106.55,0.248,0.232,0.055,0.041,0.031,0.023,0.147,0.107
104,153.070,152.525,1.130,1.135,106.19,105.73,62.39,63.44,37.61,36.56,9.93,6.94,57.45,61.81,32.62,31.25,25.11,25.11,1.143,1.017,1.024,0.930,350.8,354.0,3.517,3.353,-1.3,1.9,22.94,16.46,-65.37,-67.62,0.050,-0.060,106.20,107.83,0.259,0.279,0.056,0.075,0.028,0.044,0.137,0.116
105,154.190,153.640,1.120,1.115,107.14,107.62,62.05,63.23,37.95,36.77,8.63,7.09,61.87,58.87,29.50,34.04,24.44,24.44,1.064,1.036,0.958,0.954,360.1,360.7,3.533,3.388,2.1,-1.1,25.01,13.92,-58.76,-69.82,0.043,-0.060,108.33,105.96,0.247,0.264,0.055,0.063,0.033,0.029,0.144,0.091
106,155.300,154.765,1.110,1.125,108.11,106.67,62.61,62.22,37.39,37.78,10.07,7.14,58.99,59.29,30.94,33.57,24.11,24.11,1.023,1.010,0.962,0.936,363.6,348.0,,3.282,-2.4,1.1,23.99,14.49,-63.18,-69.31,0.036,-0.067,108.24,108.27,0.236,0.267,,0.067,,0.028,,0.101
107,156.420,155.885,1.120,1.120,107.14,107.14,62.05,61.16,37.95,38.84,7.91,7.30,60.43,59.12,31.65,33.58,23.32,23.32,0.988,1.091,0.894,0.980,360.6,347.3,3.243,3.407,3.3,-3.9,23.08,16.79,-62.93,-69.93,0.051,-0.057,109.87,105.79,0.247,0.271,0.048,0.067,0.024,0.030,0.136,0.110
108,157.530,157.000,1.110,1.115,108.11,107.62,64.41,61.43,35.59,38.57,10.49,7.30,58.74,61.31,30.77,31.39,26.13,26.13,1.035,0.960,0.967,0.906,408.9,338.1,3.711,3.121,-4.5,5.8,25.19,14.29,-62.67,-66.47,0.049,-0.046,110.42,108.23,0.271,0.267,0.072,0.076,0.047,0.030,0.162,0.099
109,158.635,158.110,1.105,1.110,108.60,108.11,62.90,61.71,37.10,38.29,10.79,7.30,57.55,59.12,31.65,33.58,25.34,25.34,1.033,1.042,0.939,0.935,357.3,368.6,3.396,3.300,0.7,-7.3,22.82,17.73,-63.70,-71.09,0.062,-0.060,108.17,107.54,0.248,0.293,0.047,0.086,0.027,0.052,0.135,0.125
110,159.750,159.215,1.115,1.105,107.62,108.60,64.13,62.44,35.87,37.56,10.49,7.25,59.44,60.87,30.07,31.88,25.23,25.23,0.954,1.009,0.909,0.934,417.9,345.1,3.438,3.230,-2.6,6.4,24.13,16.06,-64.60,-67.85,0.053,-0.053,111.30,106.61,0.252,0.268,0.050,0.069,0.026,0.033,0.139,0.102
